STATE,group,X,Y
AL,2392,-86.80850972704366,33.52700065900925
AL,2394,-87.67077322897578,34.796073311781356
AL,2405,-87.28345875454707,34.509756981021454
AL,2413,-85.40265917638328,32.624050257001045
AL,2414,-86.79310803482306,33.34885001546177
AL,2418,-86.59156669525908,32.17596980401185
AL,2421,-85.65848822738016,32.40750140662868
AL,2423,-86.58495259179492,34.73025941234334
AL,2424,-86.59698904803656,34.73796892167987
AL,2425,-87.79686573482302,32.30739443349739
AL,2426,-87.9954008933293,34.115195528497075
AL,2430,-86.29295127716168,34.358299546497236
AL,2450,-87.31926914229263,31.524377539398394
AL,2462,-86.30465164269438,32.374614387406005
AL,2470,-86.9872799963487,34.60581786721882
AL,2478,-87.441309036882,32.451428177523646
AL,2480,-87.31779086463722,32.63311179844903
AL,2481,-88.09592621748386,33.26018979993049
AL,2482,-85.97184555206536,31.807568078074222
AL,2487,-85.01950913917342,32.43976915613951
AL,2490,-86.28708102320789,33.58711212255975
AL,2492,-86.62508931198309,33.183188122578294
AL,2501,-88.18037232197214,32.60048078920138
AL,2502,-86.13895993402441,33.4243726519322
AL,2504,-85.77173168654393,32.808638488378044
AL,2509,-87.56717988905243,33.19819944626192
AL,2512,-87.27639768511489,33.83072646899915
AL,2517,-88.25659116982287,31.46568171678745
AL,2518,-87.40193021003701,34.147251107126884
AL,2623,-86.79010956162176,33.47930488902221
AL,2624,-88.1254300511344,33.74205802419058
AL,2625,-88.04173991234482,30.680808937425496
AL,2626,-87.71311271393131,30.56518845641376
AL,2629,-85.89270545020325,32.53610530965038
AL,2634,-86.60347514131597,33.62039717427826
AL,2759,-86.16490709026944,34.195721389760116
AL,2776,-85.76057088406945,33.813117531306396
AL,2831,-86.82184317453971,33.49524117255536
AL,2833,-86.4971670702765,34.32796416334806
AL,2834,-87.05027005481791,33.75280668360216
AL,3039,-86.77477353928988,33.584452598181606
AL,3129,-85.8631793789845,33.59972653329881
AL,3281,-86.01238919190308,34.01664436999971
AL,3365,-86.95321155373772,33.40172016052691
AL,3467,-86.23690422196462,32.46559439394992
AL,3484,-86.25391510766424,33.83626545960819
AL,3504,-86.96985517108135,34.81815304292039
AL,3586,-86.82971695230646,34.1504988022834
AL,3591,-88.14370866188419,34.44007472652966
AL,3628,-86.29767803097297,32.38176987146105
AL,3629,-87.28818302748664,31.987839739497467
AL,3649,-85.91295684079417,31.376966782383107
AL,3650,-85.4889319150729,31.88708953548174
AL,3651,-87.07295944700479,31.10739690773575
AL,3778,-86.48930172082655,33.92972965571643
AL,3852,-85.48323033973536,33.30967839154542
AL,3890,-85.71678058040034,32.1457502107897
AL,3901,-87.26747686385355,33.73929768438477
AL,3902,-87.52851744144603,33.88984940995641
AL,3983,-88.14971406178019,30.667942678906964
AL,4000,-85.13798189065137,31.891015482239343
AL,4003,-85.72096890772315,31.298036388276664
AL,4006,-86.61700257141945,31.828242647403425
AL,4014,-87.78145996808179,31.706857676962567
AL,4016,-88.07433918381356,30.76485264625426
AL,4017,-85.86546064432221,31.04039069318034
AL,4019,-86.81169848303708,33.77294913482153
AL,4025,-87.49174369507853,31.025187544373832
AL,4046,-87.62135896870048,32.71791775581033
AL,4205,-86.35915818900412,32.394241237977546
AL,4209,-86.2861407214508,31.72839884364044
AL,4216,-88.19189009899893,33.172938345862526
AL,4278,-87.46682144721504,31.154224746031776
AL,4279,-87.18478369028742,33.51366663106063
AL,4280,-86.334341344325,32.57698058036047
AL,4281,-85.672320131507007,32.149402850730304
AL,4283,-86.3208058177531,32.57430478731911
AL,4284,-86.80413307530739,34.81254391850649
AL,4285,-87.44986419882946,31.134386123038052
AL,4286,-87.00562813544317,34.61756728246426
AL,4287,-87.33312320637879,31.994837081256357
AL,4288,-86.08373748276779,31.413123858163345
AL,4289,-86.33219762298721,33.36493323242709
AL,4290,-86.00896896733909,32.90447113524572
AL,4291,-86.39221844285817,32.58235450833829
AL,4292,-88.10905741535305,30.737881064017625
AL,4293,-87.7703098413833,30.615335802367834
AL,4294,-87.95895958417586,34.143295591325106
AL,4295,-87.99171938437378,34.12434611039639
AL,4296,-86.10005178080681,32.388999056661596
AL,4297,-86.38437373976362,33.74558818053691
AL,4298,-87.51727369169966,33.218688046870746
AL,4299,-85.58555889204091,31.689381494795406
AR,1039,-94.04319762315518,33.42279370861916
AR,1384,-90.78641438738305,35.22233740382763
AR,2049,-94.13325612663431,33.672225150315185
AR,2051,-93.73556930869239,35.28864783550357
AR,2052,-94.02218973472516,33.40114759463246
AR,2053,-91.8888325159053,34.812959182058684
AR,2054,-92.69103084399887,36.23023369251281
AR,2066,-91.31418561285687,34.69173100026839
AR,2073,-93.6326319573055,34.55786916661065
AR,2081,-93.37965024102306,33.79940379631759
AR,2087,-93.18683483658255,36.00912587148751
AR,2095,-92.80475506461921,35.00501331273051
AR,2101,-93.6858263318212,34.072102355756265
AR,2102,-90.71595730694872,35.58050916016395
AR,2104,-93.10875290548195,35.28007850973712
AR,2111,-91.49490395984212,34.97717045203635
AR,2112,-92.31003853987481,34.723406294672195
AR,2113,-90.94951109432007,36.250636831802424
AR,2117,-90.78272402548032,35.00822677567527
AR,2124,-94.09242025166022,34.90089013776724
AR,2130,-92.65322485785609,35.91188911080207
AR,2135,-94.33105707533441,34.05930972755724
AR,2138,-91.60516286297035,36.22798368994491
AR,2142,-92.13045672873052,35.86803541713278
AR,2144,-92.44903174060985,35.57008749984523
AR,2148,-94.17753488858492,36.03348937547809
AR,2163,-93.39300453526239,35.057432814290316
AR,2447,-94.12915216045239,36.18701391941578
AR,2539,-92.38736322865388,36.33375302446077
AR,2546,-94.22923984391689,36.35980461757824
AR,2566,-93.05215631893437,34.11830649084586
AR,2567,-90.19224420844277,36.381037303078465
AR,2568,-92.04008552407647,35.4836398786576
AR,2581,-93.26610064029451,33.26451705557813
AR,2582,-90.73403380068662,35.85570419213427
AR,2583,-92.7725946781661,35.15516690102162
AR,2585,-94.30649590767615,35.45400690408228
AR,2586,-90.19046514268965,35.174596393550104
AR,2588,-92.44340888483146,35.0884022744948
AR,2589,-92.4394506345559,35.07386212326686
AR,2590,-93.82572864732983,35.48552696116953
AR,2592,-93.13947232241219,34.51106957150079
AR,2595,-93.59900069814536,33.66422070403255
AR,2596,-92.78235860008031,34.36208994964764
AR,2597,-93.84565743232685,33.9478309624494
AR,2598,-90.5460010904959,36.07994915548635
AR,2603,-91.91799466318982,36.05837133416989
AR,2604,-90.95861484909292,36.070083322233494
AR,2605,-92.00051962979717,34.227563618375356
AR,2608,-93.45840869840934,35.456204653075815
AR,2609,-93.57712272560781,33.357988158200534
AR,2761,-93.02400654213123,36.17733334980566
AR,2777,-91.3450049538682,34.27290688713076
AR,2787,-93.73659358599708,36.087087238070545
AR,2805,-92.32577677717215,34.74857353995983
AR,3354,-92.15212148775731,36.16371689687521
AR,3482,-91.81358230512403,33.22911271549037
AR,3488,-92.38963974512012,34.304287521959175
AR,3582,-89.96491399766194,35.777586917066635
AR,3652,-91.18436253914989,35.63622899013215
AR,3756,-92.63334531245371,33.209965612619435
AR,3757,-91.7183170141351,35.225379335059976
AR,3903,-92.45627930029431,33.529982253912586
AR,3945,-93.54671768449445,36.35521027962841
AR,3949,-91.36402088258369,35.28757661141518
AR,3953,-92.57909575071898,34.55617722403336
AR,3958,-92.82678115002884,33.55518853353397
AR,3967,-91.65979249805211,35.76621564142751
AR,3974,-91.81645633414284,36.380365458440515
AR,3977,-92.40571307130122,33.81320935232109
AR,4030,-91.84469580284302,33.93951720986026
AR,4089,-91.79191942907516,33.627892474068126
AR,4134,-91.90947481241686,34.43922665638349
AR,4135,-94.13562698256833,36.17495404214382
AR,4199,-90.79994401932018,34.98144152091907
AR,4200,-90.79490323266131,34.97528882483242
AR,4300,-92.08063703850122,34.21899566063714
AR,4301,-91.58407175202701,34.05152225887005
AR,4302,-90.59858371925725,34.849148677542274
AR,4303,-92.65526843577857,34.523937663721895
AR,4304,-91.41251872098893,33.517730823854265
AR,4305,-91.19077712577702,35.6260336470449
AR,4306,-92.19171824076962,34.60490546596089
AR,4307,-91.91862656327602,34.453741339027886
AR,4308,-94.15720453321929,36.06378769062181
AR,4309,-89.9894670346954,35.68495136256404
AR,4310,-91.6074586232104,34.042182055449366
AR,4311,-92.84152470428006,34.347489040379124
AR,4312,-90.18903956519364,35.14332979940434
AZ,324,-114.68495939856976,32.484547346170515
AZ,1400,-110.15489123571497,34.870760426574456
AZ,2171,-109.87092434618431,31.43334752536684
AZ,2175,-110.2333292296946,31.553003219472764
AZ,2177,-109.8356118503246,32.24910025950528
AZ,2185,-111.64092058740921,35.187437114436094
AZ,2196,-109.7184796488748,32.83402490025503
AZ,2197,-109.29705025293394,33.03763528103184
AZ,2200,-114.2902850627918,34.14548096311352
AZ,2202,-114.06459622577748,35.186660864538396
AZ,2203,-112.07835046646044,33.44552179865662
AZ,2204,-112.12801254605566,33.428988923438574
AZ,2210,-113.42340189306243,35.526499561432445
AZ,2211,-110.99284747116306,32.20199889444383
AZ,2213,-111.37418230778437,33.04073524825772
AZ,2215,-112.85730683188598,32.38277458726612
AZ,2228,-110.93763644849494,31.372100553342015
AZ,2237,-111.91657296520384,34.610543927829156
AZ,2238,-112.46661000869723,34.54148847778409
AZ,2477,-111.92024672286102,33.49057477081986
AZ,2780,-109.55909144839104,36.15345215928633
AZ,2791,-112.18207909887023,33.53748476661156
AZ,2792,-110.22907148184633,35.83667633810726
